"roi","ACME","ACME_p","ACME_ci_low","ACME_ci_high","ADE","ADE_p","Total","Total_p","Prop_Mediated","Prop_Mediated_p","N"
"brain_sim_28",-0.000127693450119986,0.732,-0.00117976295847231,0.000894226073821383,0.0784052218422912,0,0.0782775283921713,0,-0.00163129128809791,0.732,4392
"brain_sim_29",7.67392667475589e-06,0.978,-0.000487988030292988,0.000555644332657145,0.0782698544654949,0,0.0782775283921696,0,9.80348617589149e-05,0.978,4392
"brain_sim_30",-0.000746074785156255,0.198,-0.00241974691548849,0.00033211118861533,0.0790236031773307,0,0.0782775283921745,0,-0.00953114898337594,0.198,4392
"brain_sim_31",0.00133152292616031,0.19,-0.000699081151792315,0.00378296302616044,0.076946005466011,0,0.0782775283921713,0,0.0170102832001717,0.19,4392
"brain_sim_32",0.00074894157354183,0.348,-0.000914998387197316,0.00258145815926062,0.0775285868186302,0,0.078277528392172,0,0.00956777237254627,0.348,4392
"brain_sim_33",-0.000102006515494888,0.768,-0.00102365786595909,0.00054996710754823,0.078379534907661,0,0.0782775283921661,0,-0.00130313919703547,0.768,4392
"brain_sim_34",-0.000276334147897539,0.666,-0.00205110431548943,0.00130432404417579,0.0785538625400675,0,0.07827752839217,0,-0.00353018488924569,0.666,4392
"brain_sim_35",-0.00114832423057661,0.07,-0.00308681647327402,7.53871544422806e-05,0.0794258526227571,0,0.0782775283921805,0,-0.0146699091573683,0.07,4392
"brain_sim_36",-0.000763472794995639,0.126,-0.00253898110279955,0.000162004250018106,0.0790410011871727,0,0.0782775283921771,0,-0.00975340957586927,0.126,4392
"brain_sim_37",0.00016538698616843,0.698,-0.000900327448264782,0.00148945163521857,0.0781121414059995,0,0.0782775283921679,0,0.00211282841404811,0.698,4392
"brain_sim_38",-0.000972777278814748,0.15,-0.00278161807861351,0.00032066013853084,0.0792503056709921,0,0.0782775283921774,0,-0.012427286589084,0.15,4392
"brain_sim_39",-0.00198281645829721,0.006,-0.00413914534788651,-0.000399218187116372,0.0802603448504646,0,0.0782775283921673,0,-0.0253305961369064,0.006,4392
"brain_sim_40",0.00228269981082882,0.004,0.000570470394873702,0.00467793173409536,0.0759948285813503,0,0.0782775283921791,0,0.0291616234916391,0.004,4392
"brain_sim_41",0.001118737716512,0.086,-0.000149728493623653,0.00315131658467709,0.0771587906756574,0,0.0782775283921695,0,0.0142919397110642,0.086,4392
"brain_sim_42",2.72618002234756e-05,0.914,-0.000870427651617633,0.000987610156861785,0.0782502665919491,0,0.0782775283921726,0,0.000348271091122004,0.914,4392
"brain_sim_43",0.000808623619914489,0.152,-0.000215771386387845,0.00232325722927259,0.0774689047722582,0,0.0782775283921727,0,0.0103302140029672,0.152,4392
"brain_sim_44",1.64007113352458e-05,0.924,-0.000676800055047342,0.000632221820639498,0.0782611276808336,0,0.0782775283921688,0,0.000209520045817985,0.924,4392
"brain_sim_45",-1.48360924013687e-05,0.908,-0.000597815300884031,0.000498439676941975,0.0782923644845783,0,0.0782775283921769,0,-0.000189531947496332,0.908,4392
"brain_sim_46",4.72641993795409e-06,0.986,-0.000629332864753626,0.00069334239339091,0.0782728019722347,0,0.0782775283921726,0,6.03802909345143e-05,0.986,4392
"brain_sim_47",0.00044619948052738,0.65,-0.0014620242065141,0.00228628720975966,0.0778313289116518,0,0.0782775283921792,0,0.00570022444106655,0.65,4392
"brain_sim_48",-0.00129931032947153,0.264,-0.00403056081130594,0.000930157546965931,0.0795768387216472,0,0.0782775283921756,0,-0.016598765394864,0.264,4392
"brain_sim_49",0.00187136065771945,0.008,0.00029631526807065,0.00408619887526414,0.0764061677344505,0,0.07827752839217,0,0.0239067417706898,0.008,4392
"brain_sim_50",5.01462806533968e-05,0.95,-0.00185075241867288,0.00239403264432454,0.0782273821115138,0,0.0782775283921672,0,0.000640621666056777,0.95,4392
"brain_sim_51",0.000529615371209778,0.318,-0.00039303825807813,0.00188151019586741,0.0777479130209672,0,0.078277528392177,0,0.00676586731962666,0.318,4392
"brain_sim_52",0.000184977329702486,0.748,-0.00133305401000629,0.00171424272420033,0.0780925510624686,0,0.0782775283921711,0,0.00236309619761815,0.748,4392
