similarity,distance,group,character,sub
0.6676931977272034,2,2,0,2
0.5612208247184753,3,2,0,2
0.5424777269363403,4,2,0,2
0.4008216857910156,5,2,0,2
0.5691542625427246,6,2,0,2
0.560706377029419,7,2,0,2
0.632991373538971,1,2,0,2
0.5307772755622864,2,2,0,2
0.48908552527427673,3,2,0,2
0.496806800365448,4,2,0,2
0.4435863792896271,5,2,0,2
0.5304110050201416,6,2,0,2
0.5400164723396301,1,2,0,2
0.5525009036064148,2,2,0,2
0.38444581627845764,3,2,0,2
0.5787741541862488,4,2,0,2
0.4762408137321472,5,2,0,2
0.5006766319274902,1,2,0,2
0.3758322596549988,2,2,0,2
0.45108428597450256,3,2,0,2
0.4581490159034729,4,2,0,2
0.48504745960235596,1,2,0,2
0.7552793025970459,2,2,0,2
0.5098189115524292,3,2,0,2
0.4508310556411743,1,2,0,2
0.6005359292030334,2,2,0,2
0.4439634084701538,1,2,0,2
,1,2,0,3
,2,2,0,3
,3,2,0,3
,4,2,0,3
,5,2,0,3
,6,2,0,3
,7,2,0,3
,8,2,0,3
,9,2,0,3
,1,2,0,3
,2,2,0,3
,3,2,0,3
,4,2,0,3
,5,2,0,3
,6,2,0,3
,7,2,0,3
,8,2,0,3
,1,2,0,3
,2,2,0,3
,3,2,0,3
,4,2,0,3
,5,2,0,3
,6,2,0,3
,7,2,0,3
,1,2,0,3
,2,2,0,3
,3,2,0,3
,4,2,0,3
,5,2,0,3
,6,2,0,3
,1,2,0,3
,2,2,0,3
,3,2,0,3
,4,2,0,3
,5,2,0,3
,1,2,0,3
,2,2,0,3
,3,2,0,3
,4,2,0,3
,1,2,0,3
,2,2,0,3
,3,2,0,3
,1,2,0,3
,2,2,0,3
,1,2,0,3
0.5280553698539734,1,2,0,4
0.42376989126205444,2,2,0,4
0.5114985704421997,3,2,0,4
0.3263905644416809,4,2,0,4
0.5679800510406494,5,2,0,4
0.47060197591781616,6,2,0,4
0.3874436616897583,7,2,0,4
0.4622812867164612,8,2,0,4
0.31383371353149414,9,2,0,4
0.5129702091217041,1,2,0,4
0.46273159980773926,2,2,0,4
0.35767751932144165,3,2,0,4
0.5161906480789185,4,2,0,4
0.5914667844772339,5,2,0,4
0.39033323526382446,6,2,0,4
0.3814395070075989,7,2,0,4
0.41061776876449585,8,2,0,4
0.5528185367584229,1,2,0,4
0.3153529763221741,2,2,0,4
0.513450026512146,3,2,0,4
0.48521479964256287,4,2,0,4
0.35891327261924744,5,2,0,4
0.36106136441230774,6,2,0,4
0.3646215498447418,7,2,0,4
0.4971453547477722,1,2,0,4
0.6420221328735352,2,2,0,4
0.4345857501029968,3,2,0,4
0.6204949617385864,4,2,0,4
0.5719478726387024,5,2,0,4
0.6249513030052185,6,2,0,4
0.521518349647522,1,2,0,4
0.4274660050868988,2,2,0,4
0.6492800116539001,3,2,0,4
0.5822604894638062,4,2,0,4
0.6989561915397644,5,2,0,4
0.6195353269577026,1,2,0,4
0.6374616622924805,2,2,0,4
0.5731573700904846,3,2,0,4
0.6426511406898499,4,2,0,4
0.506987988948822,1,2,0,4
0.4099186062812805,2,2,0,4
0.5045688152313232,3,2,0,4
0.7020180821418762,1,2,0,4
0.8039568662643433,2,2,0,4
0.6556922793388367,1,2,0,4
0.4743100702762604,1,2,0,5
0.382625013589859,2,2,0,5
0.4497278928756714,3,2,0,5
0.4400562047958374,4,2,0,5
0.4866594970226288,5,2,0,5
0.40043145418167114,6,2,0,5
0.5648135542869568,7,2,0,5
0.5051687359809875,8,2,0,5
0.4974389970302582,9,2,0,5
0.5926112532615662,1,2,0,5
0.4197728633880615,2,2,0,5
0.40738174319267273,3,2,0,5
0.4486779570579529,4,2,0,5
0.3663662374019623,5,2,0,5
0.4216914176940918,6,2,0,5
0.39176851511001587,7,2,0,5
0.38683992624282837,8,2,0,5
0.5910188555717468,1,2,0,5
0.5487741827964783,2,2,0,5
0.6602218747138977,3,2,0,5
0.3263847529888153,4,2,0,5
0.5457264184951782,5,2,0,5
0.4571402668952942,6,2,0,5
0.42215415835380554,7,2,0,5
0.526756227016449,1,2,0,5
0.5116105675697327,2,2,0,5
0.32551753520965576,3,2,0,5
0.6161600947380066,4,2,0,5
0.5953740477561951,5,2,0,5
0.4066810607910156,6,2,0,5
0.66061931848526,1,2,0,5
0.4826085567474365,2,2,0,5
0.6049332022666931,3,2,0,5
0.5899198055267334,4,2,0,5
0.4766125977039337,5,2,0,5
0.5441662669181824,1,2,0,5
0.615788459777832,2,2,0,5
0.5992982387542725,3,2,0,5
0.4869804382324219,4,2,0,5
0.38628607988357544,1,2,0,5
0.3740224540233612,2,2,0,5
0.4599761962890625,3,2,0,5
0.5129419565200806,1,2,0,5
0.4274349808692932,2,2,0,5
0.47064539790153503,1,2,0,5
,1,2,0,6
0.4022189676761627,2,2,0,6
0.6248796582221985,3,2,0,6
0.35576942563056946,4,2,0,6
0.547160267829895,5,2,0,6
0.38227349519729614,6,2,0,6
0.3773577809333801,7,2,0,6
0.41998758912086487,8,2,0,6
0.30156540870666504,9,2,0,6
,1,2,0,6
,2,2,0,6
,3,2,0,6
,4,2,0,6
,5,2,0,6
