subject,run,order,transcribe,subid_check,character,index
1005,1,3,"Randall, uh, I guess was adopted and then he was talking to that guy whose relationship with him I don't entirely understand yet. Um, and then yeah, that guy told him he was dying and that really seemed to affect him. I feel like he's got some, some parent issues that we will figure out, I hope.",sub-1005,3.0,43
1005,1,4,"Jack seems like a sweet dude who's really in love with his pregnant wife. They have a long history of little traditions. It was his birthday, I think, in that scene. Um, so good for them.",sub-1005,1.0,44
1005,2,1,I still think Kevin’s an actor who is insecure about his job. I guess I understand more of his breakdown now because he seems to be dissatisfied with how replaceable he seems.,sub-1005,4.0,45
1005,2,2,"Uh, I did not learn anything new about Randall in this scene. Other than that he is a boss at a company and works in a tall building in a beautiful office. And has lots of people who work under him.",sub-1005,3.0,46
1005,2,3,Now I know that Kate went on a date with a guy who seems nice.,sub-1005,2.0,47
1005,2,4,"I don't have many thoughts about Jack either other than that he is married to a woman who is in a high risk pregnancy with triplets coming and their doctor just bailed on them, their original doctor. He's trying to be supportive for his wife, or I don't know, partner, um as she goes through this.",sub-1005,1.0,48
1005,3,1,"My thoughts about Kate are that I feel bad for her. She seems really unhappy with her body. And I'm glad that she's going out and meeting people and that they're, I don't know, she seems to have a good relationship with her brother. So I'm happy that they're there for each other. Yeah.",sub-1005,2.0,49
1005,3,2,"I still don't have any strong opinions on Randall. But what I learned is that he seems to have a partner and a daughter and that he did not hear from his father and he was kind of scared to contact him. So we know he eventually did because of that other scene. But at this point, he just says that he found him and is like, nope, I'm not going to go look for him. I'm not going to contact him. I just know he's out there now. He thinks that because his dad abandoned him at a fire station, so he doesn't know how he feels about him as a person or I guess has negative feelings towards him as a person.",sub-1005,3.0,50
1005,3,3,"Kevin's a washed up actor who's kind of wondering what to do with his life. I learned that he's the sister or the, the brother of Kate. And uh, I have a speculation that their dad maybe wasn't so present in their life based on how that scene of that father leaving affected him. But I don't know. We'll see how that pans out.",sub-1005,4.0,51
1005,3,4,Jack's really defensive about his partner and really scared about this whole high risk pregnancy situation. He also seems to kind of speak like he's angry at the doctor even though he doesn't really need to be angry at the doctor. But I think that's just his way of trying to be really fiercely protective of his partner. And he wants to be optimistic. We learned that he has a close relationship with his mother as well. And that he really wants everything to work out.,sub-1005,1.0,52
1005,4,1,"All I know is that now it seems something has gone wrong. Either his wife died or he lost his kid. I think he lost one of the triplets and he's really sad about it. Very reasonable. So, yeah.",sub-1005,1.0,53
1005,4,2,"Kate’s still, she seems to have a real issue with her body image. It's kind of defining for her. She also seems to think the fact that she's 36 is like terrible and horrible. And like how could she possibly recover from something as awful as being 36, which is absurd. So I don't love that. But I think she's just not where she wanted to be at that stage in her life. And that's why she's so upset about it. And her relationship with her brother is strong. But, yeah, she's trying to, trying to rope other people into convincing her to lose weight, I guess. But, 'cause her brother's a good person, he's not going to try to like force that on her.",sub-1005,2.0,54
1005,4,3,"Randall doesn't seem to know exactly what he's doing or what he wants here. But I also feel like those kinds of relationships can make people behave impulsively and irrationally. So he's trying to figure out exactly what he wants out of his relationship with his father. And he doesn't seem like he's being entirely transparent about that with his wife. Seems like he kind of caught her by surprise, maybe. And he was just like, by the way, my estranged father, my estranged biological father is coming over and I don't even know if I want that. So that doesn't seem great. But, but he's moving forward with that.",sub-1005,3.0,55
1005,4,4,"Kevin, I respect Kevin more because of the way he interacts with his sister. And I also understand why he's going crazy if he thinks everything about his life and legacy is summed up by his role playing the Manny. Like I can kind of see why that's all his life amounted to in his eyes, that he would feel dissatisfied and be like, screw this, I need a change. So, more respect for the mental break. A lot more respect for the way he interacts with his sister.",sub-1005,4.0,56
1005,5,1,Jack seems so excited to have these kids. I don't remember what else happened in these scenes. Not that much.,sub-1005,1.0,57
1005,5,2,"Kevin’s been kind of having this existential crisis for a while. They referenced the Challenger explosion earlier but like he uses that as representative of the utility of trying to do anything. It's more of his existential grief kind of projecting onto other things in the world. Um, but yeah it also seems that he lives in a fancy mansion and is like you know constantly surrounded by like you know bikini-clad ladies but that's not enough to keep him from feeling empty inside.",sub-1005,4.0,58
1005,5,3,Kate’s clearly been going through issues with her body weight for a while. She apparently joined a support group. She seems to have a bond with this guy from the support group because they both laugh at and make fun of very quietly the other people there. I don't know what that says about whether or not they think they're different or better or something than the other people at the thing but they um seem to find each other funny.,sub-1005,2.0,59
1005,5,4,"My thoughts about Randall are that he still doesn't know what he wants out of his father. I think he just wants to know what happened. I think he maybe seems surprised that his father didn't remember anything about giving him up. I think he's also surprised by how clear his father is about what he can and can't do for him. Like he just says, you want me to try to say sorry so that you can be angry and I, I don't know if I can say that. And Randall's like darn, I don't know what I want out of this either. I'm pretty consistent about Randall. He doesn't actually know what he wants out of a relationship with his father or if he wants a relationship with his biological father.",sub-1005,3.0,60
1005,6,1,"Kate only thinks one thing about herself, which is that she's overweight and doesn't value anything else about herself, which is a real bummer, it also seems that she's limiting herself because she only thinks about herself as an overweight person. For instance, this person who seems nice and funny, she's trying to turn away because he's also overweight, and that triggers her insecurity about the fact that she's overweight. That makes me feel sad for her, but also just kind of wish she could find other value in herself.",sub-1005,2.0,61
1005,6,2,"I don't have any different thoughts about Jack. Jack's still there being a supportive partner, and not too much else.",sub-1005,1.0,62
1005,6,3,"Kevin seemed to have an existential crisis. What we learned is that it's not just that his role is stupid, he also has a lot of anger at the fact that like this is the kind of role that can make him money, make him famous, that he was so successful in this role that he considers so stupid. He's mad that the audience even thinks I was funny. Maybe he just thinks all of society's values are stupid. And I appeal to his whole nihilist fire here.",sub-1005,4.0,63
1005,6,4,"Randall doesn't know what he wants. He says one thing, and then he does the other, over and over again with regard to his father. I think it's going to slowly come out that he does want some form of relationship with his dad. As we know from earlier scenes, that's going to have to be short-lived because his dad is dying, which I think is going to make it so that he just like sees out the relationship until his dad dies. But, that's, uh I suppose, for future episodes to find out.",sub-1005,3.0,64
1005,7,1,"I still think Kate defines herself entirely based on her weight. Um, and that she's a good sibling to Kevin, and that makes me happy.",sub-1005,2.0,65
1005,7,2,"Jack seems really excited about being a parent. It's cool that he seemed to adopt that other child. I don't know how I feel about the idea of them replacing their third triplet with like a random baby, but I guess it's, you know, they had everything planned for three and this baby needs to be adopted, so I guess that's really kind of them.",sub-1005,1.0,66
1005,7,3,"Randall now knows about his biological father. I guess I find out that Jack is his real father, that he's siblings with Kate and Kevin, and it's, I don't know. Yeah, I don't... I guess it's cool that he's trying to forgive his father. Like, I guess I think it's because he's dying. If he wasn't, I don't know if he would have forgiven him.",sub-1005,3.0,67
1005,7,4,"Kevin’s going through an existential crisis, but at least he has his sister there to support him, and it's good that they too have a supportive relationship. I don't know anything about their relationship with Randall, which is interesting.",sub-1005,4.0,68
1005,8,1,"Kevin, I feel bad for Kevin, but not that bad because he makes a ton of money, he's a really famous actor, and he's like, woe is me, my life is so hard, I picked a meaningless career and I don't find meaning in my job. I don't know, take your money and get a new job or something, I don't know. But I understand why he finds it unfulfilling.",sub-1005,4.0,69
1005,8,2,"I guess Randall’s had this chip on his shoulder for his whole life because he's like, I made it from being abandoned to here, check me out. Um, but he still doesn't know what he actually wants with regard to his father.",sub-1005,3.0,70
1005,8,3,"Kevin, I feel bad for Kevin, but not that bad because he makes a ton of money, he's a really famous actor, and he's like, woe is me, my life is so hard, I picked a meaningless career and I don't find meaning in my job. I don't know, take your money and get a new job or something, I don't know. But I understand why he finds it unfulfilling.",sub-1005,1.0,71
1005,8,4,Kate keeps trying to push people away if they don't match up with what she thinks she wants to do about her weight. And I think that's ultimately going to be unhealthy and unhelpful for her.,sub-1005,2.0,72
1005,9,1,"Toby seems like kind of a jerk. He laughs at everybody at this thing, and Kate doesn't laugh at everybody. Only some of them. So, I don't think that's super cool.",sub-1005,2.0,73
1005,9,2,"Jack seems to be processing a lot of grief in this scene, which makes sense. And otherwise, I think he's just, really loves his wife and is excited to be a parent.",sub-1005,1.0,74
1005,9,3,Kevin has a strong relationship with his sister. He's been having his doubts about his career for a long time. I still don't know if that party scene was before or after the meltdown.,sub-1005,4.0,75
1005,9,4,Randall really does seem to have a very fulfilling life outside of whatever is going on with his relationship with his father. Seems like he and his wife have a good thing. They both love their two daughters. They seem very different. They're very supportive of whatever they're doing.,sub-1005,3.0,76
1005,10,1,It's cool that Jack took this wisdom from this nice old doctor and he seems to have been a really good parent.,sub-1005,1.0,77
